"","unique_genes","total_in","total_out","norm_reldif","stresscat"
"1","POLD1",11,1,0.91304347826087,"dna"
"2","CHEK2",11,1,0.91304347826087,"dna"
"3","ERCC4",11,1,0.91304347826087,"dna"
"4","LIG1",10,1,0.904761904761905,"dna"
"5","CHEK1",10,1,0.904761904761905,"dna"
"6","FEN1",9,1,0.894736842105263,"dna"
"7","POLE",9,1,0.894736842105263,"dna"
"8","RPA4",9,1,0.894736842105263,"dna"
"9","ERCC5",9,1,0.894736842105263,"dna"
"10","POLD3",9,1,0.894736842105263,"dna"
"11","POLD4",9,1,0.894736842105263,"dna"
"12","RFC2",9,1,0.894736842105263,"dna"
"13","RFC3",9,1,0.894736842105263,"dna"
"14","RFC4",9,1,0.894736842105263,"dna"
"15","RFC5",9,1,0.894736842105263,"dna"
"16","GADD45A",8,1,0.882352941176471,"dna"
"17","AC016586.1",8,1,0.882352941176471,"dna"
"18","DNA2",8,1,0.882352941176471,"dna"
"19","POLL",8,1,0.882352941176471,"dna"
"20","POLQ",8,1,0.882352941176471,"dna"
"21","WRN",8,1,0.882352941176471,"dna"
"22","ABRAXAS1",8,1,0.882352941176471,"dna"
"23","BABAM1",8,1,0.882352941176471,"dna"
"24","BABAM2",8,1,0.882352941176471,"dna"
"25","BRCA1",8,1,0.882352941176471,"dna"
"26","BRCC3",8,1,0.882352941176471,"dna"
"27","DDB2",8,1,0.882352941176471,"dna"
"28","ERCC8",8,1,0.882352941176471,"dna"
"29","GTF2H3",8,1,0.882352941176471,"dna"
"30","KDM1A",8,1,0.882352941176471,"dna"
"31","MAD2L2",8,1,0.882352941176471,"dna"
"32","PAXIP1",8,1,0.882352941176471,"dna"
"33","POLD2",8,1,0.882352941176471,"dna"
"34","PRKDC",8,1,0.882352941176471,"dna"
"35","RAD51",8,1,0.882352941176471,"dna"
"36","RAD52",8,1,0.882352941176471,"dna"
"37","UIMC1",8,1,0.882352941176471,"dna"
"38","ZNF385A",8,1,0.882352941176471,"dna"
"39","HMGA2",7,1,0.866666666666667,"dna"
"40","LIG3",7,1,0.866666666666667,"dna"
"41","MBD4",7,1,0.866666666666667,"dna"
"42","MPG",7,1,0.866666666666667,"dna"
"43","NTHL1",7,1,0.866666666666667,"dna"
"44","PARP2",7,1,0.866666666666667,"dna"
"45","XPA",7,1,0.866666666666667,"dna"
"46","BLM",7,1,0.866666666666667,"dna"
"47","BRCA2",7,1,0.866666666666667,"dna"
"48","CCNH",7,1,0.866666666666667,"dna"
"49","CDK7",7,1,0.866666666666667,"dna"
"50","CETN2",7,1,0.866666666666667,"dna"
"51","CUL4A",7,1,0.866666666666667,"dna"
"52","DCLRE1A",7,1,0.866666666666667,"dna"
"53","DCLRE1B",7,1,0.866666666666667,"dna"
"54","DCLRE1C",7,1,0.866666666666667,"dna"
"55","DDB1",7,1,0.866666666666667,"dna"
"56","EME1",7,1,0.866666666666667,"dna"
"57","EME2",7,1,0.866666666666667,"dna"
"58","EXO1",7,1,0.866666666666667,"dna"
"59","EYA1",7,1,0.866666666666667,"dna"
"60","EYA3",7,1,0.866666666666667,"dna"
"61","FAN1",7,1,0.866666666666667,"dna"
"62","FANCB",7,1,0.866666666666667,"dna"
"63","FOXM1",7,1,0.866666666666667,"dna"
"64","GEN1",7,1,0.866666666666667,"dna"
"65","GTF2H2",7,1,0.866666666666667,"dna"
"66","GTF2H4",7,1,0.866666666666667,"dna"
"67","GTF2H5",7,1,0.866666666666667,"dna"
"68","KAT5",7,1,0.866666666666667,"dna"
"69","MGMT",7,1,0.866666666666667,"dna"
"70","MLH1",7,1,0.866666666666667,"dna"
"71","MRE11",7,1,0.866666666666667,"dna"
"72","MSH2",7,1,0.866666666666667,"dna"
"73","MUS81",7,1,0.866666666666667,"dna"
"74","NBN",7,1,0.866666666666667,"dna"
"75","NSD2",7,1,0.866666666666667,"dna"
"76","NUDT16",7,1,0.866666666666667,"dna"
"77","PIAS4",7,1,0.866666666666667,"dna"
"78","PMS2",7,1,0.866666666666667,"dna"
"79","POLE2",7,1,0.866666666666667,"dna"
"80","POLH",7,1,0.866666666666667,"dna"
"81","POLR2A",7,1,0.866666666666667,"dna"
"82","POLR2C",7,1,0.866666666666667,"dna"
"83","POLR2E",7,1,0.866666666666667,"dna"
"84","POLR2F",7,1,0.866666666666667,"dna"
"85","POLR2G",7,1,0.866666666666667,"dna"
"86","POLR2H",7,1,0.866666666666667,"dna"
"87","POLR2I",7,1,0.866666666666667,"dna"
"88","POLR2J",7,1,0.866666666666667,"dna"
"89","POLR2K",7,1,0.866666666666667,"dna"
"90","PPP4C",7,1,0.866666666666667,"dna"
"91","PPP4R2",7,1,0.866666666666667,"dna"
"92","RAD50",7,1,0.866666666666667,"dna"
"93","RAD51AP1",7,1,0.866666666666667,"dna"
"94","RAD51C",7,1,0.866666666666667,"dna"
"95","RAD9A",7,1,0.866666666666667,"dna"
"96","RBBP8",7,1,0.866666666666667,"dna"
"97","RFC1",7,1,0.866666666666667,"dna"
"98","RFWD3",7,1,0.866666666666667,"dna"
"99","RIF1",7,1,0.866666666666667,"dna"
"100","RMI2",7,1,0.866666666666667,"dna"
"101","RNF168",7,1,0.866666666666667,"dna"
"102","RNF8",7,1,0.866666666666667,"dna"
"103","RPL26",7,1,0.866666666666667,"dna"
"104","RTEL1",7,1,0.866666666666667,"dna"
"105","SETMAR",7,1,0.866666666666667,"dna"
"106","SLX1A",7,1,0.866666666666667,"dna"
"107","SLX1B",7,1,0.866666666666667,"dna"
"108","SLX4",7,1,0.866666666666667,"dna"
"109","SPIDR",7,1,0.866666666666667,"dna"
"110","TDP1",7,1,0.866666666666667,"dna"
"111","TDP2",7,1,0.866666666666667,"dna"
"112","TERF2IP",7,1,0.866666666666667,"dna"
"113","TIMELESS",7,1,0.866666666666667,"dna"
"114","TNKS1BP1",7,1,0.866666666666667,"dna"
"115","TP53BP1",7,1,0.866666666666667,"dna"
"116","UBE2N",7,1,0.866666666666667,"dna"
"117","UBE2V2",7,1,0.866666666666667,"dna"
"118","XPC",7,1,0.866666666666667,"dna"
"119","XRCC3",7,1,0.866666666666667,"dna"
"120","ZMPSTE24",7,1,0.866666666666667,"dna"
"121","APEX2",6,1,0.846153846153846,"dna"
"122","FAM168A",6,1,0.846153846153846,"dna"
"123","MUTYH",6,1,0.846153846153846,"dna"
"124","NEIL1",6,1,0.846153846153846,"dna"
"125","NEIL2",6,1,0.846153846153846,"dna"
"126","NEIL3",6,1,0.846153846153846,"dna"
"127","RECQL4",6,1,0.846153846153846,"dna"
"128","SMUG1",6,1,0.846153846153846,"dna"
"129","TDG",6,1,0.846153846153846,"dna"
"130","USP47",6,1,0.846153846153846,"dna"
"131","ACTR5",6,1,0.846153846153846,"dna"
"132","ANKLE1",6,1,0.846153846153846,"dna"
"133","APLF",6,1,0.846153846153846,"dna"
"134","AUNIP",6,1,0.846153846153846,"dna"
"135","BARD1",6,1,0.846153846153846,"dna"
"136","BID",6,1,0.846153846153846,"dna"
"137","CGAS",6,1,0.846153846153846,"dna"
"138","CNOT1",6,1,0.846153846153846,"dna"
"139","CNOT6L",6,1,0.846153846153846,"dna"
"140","CNOT8",6,1,0.846153846153846,"dna"
"141","CUL4B",6,1,0.846153846153846,"dna"
"142","CYREN",6,1,0.846153846153846,"dna"
"143","DDX1",6,1,0.846153846153846,"dna"
"144","DDX5",6,1,0.846153846153846,"dna"
"145","DEK",6,1,0.846153846153846,"dna"
"146","DTL",6,1,0.846153846153846,"dna"
"147","DTX3L",6,1,0.846153846153846,"dna"
"148","DYRK1A",6,1,0.846153846153846,"dna"
"149","DYRK3",6,1,0.846153846153846,"dna"
"150","EXD2",6,1,0.846153846153846,"dna"
"151","EYA2",6,1,0.846153846153846,"dna"
"152","EYA4",6,1,0.846153846153846,"dna"
